Black Body Radiation Experiment Wed, Jan 21, 2026 10:15 AM
Sensor Position (Degrees)	Light Intensity (Volts)
-0.01033	0.00251
-0.01033	0.00137
-0.01033	0.00057
-0.01033	0.00004
-0.01033	-0.00027
0.01033	-0.00043
0.01033	-0.00050
0.01033	-0.00104
0.01033	-0.00103
0.02067	-0.00122
0.02067	-0.00099
0.04133	-0.00083
0.04133	-0.00109
0.06200	-0.00075
0.08266	-0.00082
0.12400	-0.00053
0.15500	0.00015
0.26866	0.00043
0.40299	0.00052
0.48565	0.00008
0.70264	-0.00023
0.90931	0.00005
0.99197	0.00000
0.97130	-0.00060
0.97130	-0.00131
0.96097	-0.00174
0.97130	-0.00157
0.97130	-0.00207
0.97130	-0.00170
0.97130	-0.00195
0.97130	-0.00182
0.97130	-0.00208
0.98164	-0.00159
0.98164	-0.00123
0.98164	-0.00140
0.98164	-0.00169
0.99197	-0.00189
0.99197	-0.00186
0.99197	-0.00194
0.99197	-0.00243
0.99197	-0.00244
0.99197	-0.00214
1.00230	-0.00146
1.00230	-0.00115
1.00230	-0.00064
1.00230	-0.00055
1.00230	-0.00062
1.00230	-0.00070
1.00230	-0.00035
1.00230	-0.00040
1.01264	-0.00124
1.01264	-0.00172
1.01264	-0.00119
1.02297	0.00017
1.02297	0.00010
1.02297	-0.00028
1.02297	-0.00031
1.02297	-0.00055
1.02297	-0.00086
1.02297	-0.00102
1.03330	-0.00098
1.04363	-0.00153
1.05397	-0.00178
1.05397	-0.00182
1.06430	-0.00128
1.07463	-0.00041
1.10563	-0.00087
1.12630	-0.00111
1.23996	-0.00138
1.34329	-0.00094
1.38462	-0.00046
1.60162	0.00051
1.76695	0.00130
1.85994	0.00185
2.15960	0.00285
2.35593	0.00268
2.43859	0.00233
2.63492	0.00237
2.77958	0.00160
2.83125	0.00050
3.06890	-0.00092
3.21357	-0.00130
3.28590	-0.00109
3.47189	-0.00092
3.59589	-0.00077
3.64755	-0.00048
3.81288	0.00058
3.87488	0.00055
3.90588	0.00029
3.98854	0.00067
4.05054	0.00041
4.09187	-0.00018
4.17454	-0.00081
4.23654	-0.00044
4.25720	-0.00056
4.32953	-0.00069
4.38120	-0.00070
4.40186	-0.00157
4.47419	-0.00126
4.56719	-0.00204
4.60852	-0.00206
4.79452	-0.00211
4.90818	-0.00268
4.95985	-0.00222
5.08384	-0.00149
5.16651	-0.00001
5.20784	-0.00016
5.36283	0.00058
5.47650	0.00085
5.52816	0.00083
5.70382	0.00149
5.82782	0.00071
5.88982	0.00093
6.08614	0.00045
6.24114	-0.00018
6.31347	-0.00090
6.54080	-0.00186
6.69579	-0.00228
6.76812	-0.00315
6.99545	-0.00317
7.11945	-0.00292
7.18144	-0.00265
7.37777	-0.00222
7.53277	-0.00215
7.62576	-0.00160
7.91509	-0.00064
8.10108	-0.00048
8.20441	-0.00047
8.48340	-0.00010
8.66940	0.00050
8.75206	0.00040
9.03105	0.00034
9.21705	0.00036
9.29971	-0.00019
9.58904	-0.00051
9.79570	-0.00124
9.89903	-0.00150
10.22968	-0.00119
10.41568	-0.00167
10.48801	-0.00225
10.73600	-0.00246
10.90133	-0.00257
10.97366	-0.00269
11.19065	-0.00256
11.34565	-0.00205
11.41798	-0.00242
11.64530	-0.00215
11.80030	-0.00154
11.87263	-0.00092
12.08962	-0.00074
12.24462	-0.00139
12.30662	-0.00083
12.47195	-0.00023
12.61661	0.00025
12.66827	0.00074
12.89560	0.00035
13.07126	-0.00011
13.14359	-0.00092
13.42258	-0.00060
13.62924	-0.00059
13.72224	-0.00071
14.00123	-0.00054
14.20789	-0.00071
14.31122	0.00015
14.61088	0.00020
14.80721	0.00067
14.90020	0.00062
15.21019	-0.00011
15.43752	-0.00013
15.55118	-0.00035
15.94384	-0.00022
16.24350	0.00023
16.37782	0.00135
16.80148	0.00133
17.09080	0.00192
17.23546	0.00319
17.62812	0.00402
17.87611	0.00597
18.00011	0.00867
18.43409	0.01186
18.63042	0.01848
18.72342	0.02652
19.10574	0.03824
19.32273	0.05211
19.55006	0.06705
20.00471	0.08195
20.25270	0.09594
20.51103	0.10656
20.84169	0.11273
21.04835	0.11525
21.22401	0.11310
21.58566	0.10743
21.77166	0.10135
21.84399	0.09266
22.08165	0.08515
22.23664	0.07709
22.30897	0.06913
22.51563	0.06296
22.66030	0.05622
22.73263	0.04980
22.95995	0.04360
23.12528	0.03793
23.19761	0.03266
23.44560	0.02847
23.61093	0.02546
23.67293	0.02170
23.90026	0.01917
24.04492	0.01662
24.10692	0.01409
24.33424	0.01305
24.47891	0.01126
24.54090	0.01002
24.70623	0.00865
24.80956	0.00841
24.85089	0.00769
24.98522	0.00690
25.08855	0.00650
25.15055	0.00506
25.33655	0.00406
25.48121	0.00357
25.55354	0.00298
25.76020	0.00264
25.88420	0.00246
25.96686	0.00285
26.26652	0.00260
26.50418	0.00317
26.61784	0.00248
26.97950	0.00248
27.27915	0.00222
27.40315	0.00243
27.73381	0.00216
27.95080	0.00178
28.04380	0.00141
28.35379	0.00106
28.56045	0.00146
28.65344	0.00170
28.99443	0.00154
29.24242	0.00151
29.36642	0.00172
29.72808	0.00227
29.97607	0.00326
30.07940	0.00477
