Black Body Radiation Experiment Wed, Jan 21, 2026 10:24 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.01033	0.00239
0.02067	0.00077
0.02067	-0.00030
0.01033	-0.00091
0.01033	-0.00113
0.01033	-0.00103
0.01033	-0.00070
0.01033	-0.00022
0.01033	0.00032
0.01033	0.00082
0.02067	0.00115
0.02067	0.00133
0.02067	0.00130
0.02067	0.00106
0.02067	0.00074
0.02067	0.00069
0.02067	0.00073
0.02067	0.00102
0.02067	0.00144
0.02067	0.00199
0.02067	0.00247
0.02067	0.00290
0.02067	0.00321
0.03100	0.00347
0.03100	0.00349
0.02067	0.00338
0.02067	0.00325
0.02067	0.00319
0.03100	0.00306
0.03100	0.00280
0.03100	0.00257
0.03100	0.00234
0.03100	0.00207
0.04133	0.00186
0.04133	0.00179
0.03100	0.00171
0.03100	0.00161
0.04133	0.00161
0.05167	0.00175
0.05167	0.00191
0.06200	0.00206
0.06200	0.00208
0.12400	0.00232
0.25833	0.00248
0.32032	0.00254
0.61998	0.00249
0.91964	0.00243
1.02297	0.00217
0.98164	0.00195
0.98164	0.00186
0.99197	0.00195
1.00230	0.00213
1.00230	0.00250
1.00230	0.00297
1.00230	0.00365
1.00230	0.00424
1.01264	0.00464
1.01264	0.00475
1.01264	0.00462
1.02297	0.00428
1.03330	0.00382
1.03330	0.00319
1.03330	0.00252
1.03330	0.00182
1.04363	0.00127
1.05397	0.00086
1.07463	0.00055
1.07463	0.00033
1.08497	0.00016
1.09530	-0.00005
1.11597	-0.00007
1.13663	0.00013
1.29163	0.00038
1.42596	0.00069
1.47762	0.00114
1.69461	0.00163
1.85994	0.00215
1.93227	0.00261
2.19060	0.00280
2.32493	0.00282
2.40759	0.00258
2.58325	0.00205
2.73825	0.00146
2.82091	0.00077
3.13090	0.00000
3.36856	-0.00074
3.49256	-0.00134
3.84388	-0.00181
4.06087	-0.00199
4.16420	-0.00202
4.38120	-0.00195
4.52586	-0.00172
4.56719	-0.00138
4.71185	-0.00086
4.80485	-0.00029
4.83585	0.00023
4.99084	0.00068
5.09418	0.00101
5.14584	0.00125
5.28017	0.00129
5.36283	0.00132
5.41450	0.00112
5.57983	0.00084
5.69349	0.00053
5.75549	0.00033
5.94148	0.00030
6.07581	0.00035
6.12748	0.00043
6.32380	0.00058
6.44780	0.00071
6.52013	0.00073
6.72679	0.00050
6.89212	0.00026
6.96445	-0.00016
7.18144	-0.00066
7.31577	-0.00111
7.37777	-0.00155
7.56377	-0.00181
7.69809	-0.00185
7.78076	-0.00182
8.07008	-0.00161
8.29741	-0.00138
8.41107	-0.00122
8.77273	-0.00108
9.04139	-0.00093
9.17571	-0.00086
9.59937	-0.00085
9.87836	-0.00076
10.03335	-0.00073
10.44668	-0.00049
10.65334	-0.00014
10.74633	0.00013
11.02532	0.00042
11.21132	0.00068
11.29398	0.00103
11.56264	0.00134
11.75897	0.00145
11.83130	0.00126
12.08962	0.00094
12.25495	0.00061
12.31695	0.00023
12.54428	-0.00014
12.69927	-0.00062
12.76127	-0.00107
12.94726	-0.00132
13.11259	-0.00114
13.17459	-0.00059
13.40192	-0.00005
13.56725	0.00035
13.63958	0.00056
13.86690	0.00087
14.04256	0.00133
14.12523	0.00175
14.40422	0.00201
14.61088	0.00217
14.70388	0.00245
14.98287	0.00289
15.16886	0.00361
15.27219	0.00435
15.55118	0.00504
15.70618	0.00571
15.81984	0.00655
16.20216	0.00785
16.37782	0.00965
16.46049	0.01184
16.78081	0.01462
16.91514	0.01808
17.02880	0.02207
17.26646	0.02694
17.41113	0.03267
17.57645	0.03958
17.87611	0.04850
18.01044	0.06024
18.13444	0.07587
18.43409	0.09600
18.62009	0.12113
18.81642	0.15121
19.22974	0.18512
19.42606	0.22062
19.62239	0.25530
20.04604	0.28651
20.30437	0.31093
20.51103	0.32686
20.84169	0.33325
21.03801	0.33008
21.22401	0.31838
21.62699	0.29983
21.81299	0.27717
21.88532	0.25263
22.14365	0.22754
22.32964	0.20342
22.41230	0.18137
22.66030	0.16110
22.84629	0.14259
22.92895	0.12591
23.14595	0.11057
23.31128	0.09669
23.38361	0.08411
23.61093	0.07294
23.78659	0.06334
23.85893	0.05507
24.11725	0.04790
24.30324	0.04207
24.37558	0.03719
24.63390	0.03278
24.84056	0.02908
24.90256	0.02573
25.11955	0.02272
25.26422	0.02016
25.31588	0.01774
25.48121	0.01578
25.61554	0.01416
25.66720	0.01293
25.85320	0.01202
25.97719	0.01134
26.02886	0.01058
26.20452	0.00989
26.31818	0.00920
26.36985	0.00846
26.54551	0.00770
26.65917	0.00685
26.71084	0.00592
26.88650	0.00534
27.00016	0.00496
27.05183	0.00496
27.24815	0.00512
27.41348	0.00535
27.47548	0.00551
27.72347	0.00570
27.90947	0.00577
27.99213	0.00579
28.28145	0.00572
28.49845	0.00562
28.59145	0.00551
28.89110	0.00551
29.10810	0.00551
29.21143	0.00533
29.52142	0.00487
29.72808	0.00405
29.80041	0.00278
30.03807	0.00096
