Black Body Radiation Experiment Wed, Jan 21, 2026 9:45 AM
Sensor Position (Degrees)	Light Intensity (Volts)
-0.01033	-0.00060
-0.01033	-0.00042
-0.01033	-0.00027
-0.01033	-0.00014
-0.01033	-0.00002
-0.02067	0.00010
-0.02067	0.00023
-0.03100	0.00016
-0.03100	0.00001
-0.03100	0.00095
-0.03100	0.00180
-0.03100	0.00207
-0.03100	0.00184
-0.03100	0.00168
-0.02067	0.00133
-0.01033	0.00204
-0.01033	0.00165
-0.02067	0.00105
-0.03100	0.00057
-0.03100	0.00018
-0.04133	-0.00037
-0.05167	-0.00064
-0.04133	-0.00092
-0.04133	-0.00078
-0.02067	-0.00062
-0.01033	-0.00025
-0.01033	0.00023
-0.01033	0.00048
0.01033	0.00021
0.02067	0.00016
0.03100	-0.00010
0.04133	-0.00093
0.08266	-0.00067
0.10333	-0.00148
0.11366	-0.00255
0.16533	-0.00274
0.20666	-0.00242
0.23766	-0.00267
0.36166	-0.00287
0.48565	-0.00386
0.56832	-0.00406
0.97130	-0.00483
1.19863	-0.00466
1.28129	-0.00431
1.29163	-0.00309
1.28129	-0.00337
1.28129	-0.00372
1.28129	-0.00337
1.28129	-0.00302
1.28129	-0.00316
1.28129	-0.00317
1.29163	-0.00373
1.29163	-0.00418
1.29163	-0.00478
1.30196	-0.00426
1.31229	-0.00435
1.32263	-0.00461
1.33296	-0.00497
1.40529	-0.00549
1.48795	-0.00515
1.51895	-0.00483
1.63262	-0.00440
1.69461	-0.00420
1.72561	-0.00390
1.97361	-0.00416
2.24226	-0.00365
2.37659	-0.00303
2.75891	-0.00344
3.07924	-0.00377
3.22390	-0.00380
3.69922	-0.00394
4.04021	-0.00353
4.21587	-0.00399
4.61886	-0.00392
4.91851	-0.00424
5.03218	-0.00432
5.53849	-0.00523
5.94148	-0.00477
6.10681	-0.00541
6.71646	-0.00590
7.16078	-0.00628
7.41910	-0.00625
8.26641	-0.00637
8.80373	-0.00605
9.10338	-0.00542
9.88869	-0.00477
10.32268	-0.00396
10.55001	-0.00426
11.11832	-0.00420
11.53164	-0.00379
11.68664	-0.00412
12.21362	-0.00390
12.59594	-0.00386
12.77160	-0.00386
13.37092	-0.00452
13.76357	-0.00449
13.97023	-0.00477
14.54888	-0.00507
14.92087	-0.00472
15.10686	-0.00510
15.66485	-0.00453
16.04717	-0.00389
16.21250	-0.00332
16.63615	-0.00322
16.91514	-0.00198
17.03914	-0.00045
17.41113	0.00086
17.64879	0.00196
17.75212	0.00456
18.14477	0.00749
18.40309	0.01876
18.52709	0.03690
19.04374	0.06226
19.36407	0.09261
19.67406	0.12415
20.24237	0.15435
20.53170	0.18121
20.85202	0.19999
21.41000	0.20848
21.68899	0.20641
21.96798	0.19496
22.39164	0.17542
22.71196	0.15716
22.83596	0.13728
23.21828	0.11872
23.46627	0.10241
23.56960	0.08737
23.90026	0.07439
24.13792	0.06355
24.24125	0.05411
24.57190	0.04593
24.79923	0.03924
24.90256	0.03258
25.28488	0.02785
25.57421	0.02414
25.69820	0.01922
26.09086	0.01569
26.33885	0.01270
26.46284	0.00974
26.86583	0.00684
27.14482	0.00504
27.28949	0.00355
27.75447	0.00193
28.00246	0.00091
28.12646	-0.00021
28.44678	-0.00003
28.70511	-0.00080
28.81877	-0.00250
29.14943	-0.00283
29.35609	-0.00416
29.43875	-0.00416
29.70741	-0.00500
29.89340	-0.00474
30.00707	-0.00488
30.33772	-0.00438
30.60638	-0.00458
30.73038	-0.00403
31.10237	-0.00367
31.37103	-0.00435
31.50535	-0.00452
31.91868	-0.00416
32.18733	-0.00433
32.31133	-0.00412
32.65232	-0.00489
32.91064	-0.00459
33.04497	-0.00556
33.50996	-0.00577
33.83028	-0.00648
33.99561	-0.00624
34.42960	-0.00605
34.66726	-0.00645
34.78092	-0.00603
35.17357	-0.00558
