Black Body Radiation Experiment Wed, Jan 21, 2026 9:42 AM
Sensor Position (Degrees)	Light Intensity (Volts)
76.73295	0.01211
76.94994	0.06513
77.06361	0.12722
77.37360	0.19032
77.56992	0.24420
77.68359	0.28089
78.12791	0.30119
78.34490	0.29922
78.54123	0.27131
78.85122	0.21833
79.13021	0.15723
79.27487	0.11340
79.60553	0.08695
79.83285	0.07256
79.93618	0.06150
80.26684	0.05392
80.49417	0.04539
80.60783	0.03745
80.93849	0.03246
81.17614	0.02766
81.27947	0.02301
81.59980	0.02092
81.82712	0.01937
81.93045	0.01653
82.25078	0.01436
82.46777	0.01310
82.57110	0.01255
82.87076	0.01165
83.08775	0.01104
83.18075	0.01001
83.49074	0.00890
83.71807	0.00835
83.82140	0.00793
84.16239	0.00817
84.43104	0.00800
84.56537	0.00724
84.92703	0.00720
85.19569	0.00715
85.31968	0.00663
85.69167	0.00591
85.95000	0.00543
86.07399	0.00455
86.40465	0.00391
86.63198	0.00409
86.73531	0.00416
87.05563	0.00431
87.30362	0.00457
87.43795	0.00496
87.84094	0.00458
88.08893	0.00466
88.22326	0.00421
88.59525	0.00382
88.80191	0.00398
88.94657	0.00439
89.39089	0.00506
89.71121	0.00603
89.86621	0.00730
90.37253	0.00892
