Black Body Radiation Experiment Wed, Jan 21, 2026 9:46 AM
Sensor Position (Degrees)	Light Intensity (Volts)
-0.01033	-0.00044
-0.02067	-0.00112
-0.01033	-0.00134
-0.01033	-0.00119
-0.02067	-0.00076
-0.02067	-0.00015
-0.02067	0.00055
-0.02067	0.00086
-0.02067	0.00140
-0.01033	0.00219
-0.01033	0.00234
-0.01033	0.00233
-0.01033	0.00205
-0.01033	0.00236
-0.01033	0.00195
0.02067	0.00207
0.05167	0.00152
0.13433	0.00175
0.18599	0.00303
0.49598	0.00315
0.70264	0.00324
0.78531	0.00347
1.18830	0.00310
1.29163	0.00252
1.36396	0.00166
1.51895	0.00115
1.56028	0.00066
1.56028	-0.00028
1.56028	-0.00056
1.57062	-0.00026
1.57062	0.00102
1.57062	0.00090
1.57062	0.00120
1.58095	0.00140
1.58095	0.00086
1.58095	0.00051
1.59128	-0.00004
1.64295	-0.00108
1.75661	-0.00198
1.85994	-0.00231
2.11827	-0.00246
2.29393	-0.00274
2.39726	-0.00262
2.66592	-0.00218
2.86224	-0.00114
2.95524	-0.00102
3.29623	-0.00015
3.53389	0.00028
3.63722	-0.00021
4.06087	-0.00092
4.35020	-0.00166
4.52586	-0.00156
4.90818	-0.00178
5.18717	-0.00241
5.31117	-0.00284
5.92082	-0.00226
6.25147	-0.00253
6.41680	-0.00284
6.89212	-0.00228
7.21244	-0.00204
7.37777	-0.00242
7.91509	-0.00277
8.30774	-0.00294
8.49374	-0.00333
9.15505	-0.00296
9.53737	-0.00291
9.71303	-0.00282
10.34335	-0.00277
10.70500	-0.00364
10.91166	-0.00333
11.32498	-0.00326
11.59364	-0.00335
11.72797	-0.00363
12.16196	-0.00368
12.44095	-0.00307
12.57528	-0.00371
12.99893	-0.00284
13.31925	-0.00240
13.46392	-0.00231
13.94957	-0.00331
14.33189	-0.00329
14.48688	-0.00349
15.05520	-0.00428
15.42719	-0.00436
15.59252	-0.00405
16.27449	-0.00364
16.71881	-0.00373
16.94614	-0.00323
17.60745	-0.00368
18.06211	-0.00184
18.29976	0.00329
18.93008	0.01264
19.36407	0.02688
19.57073	0.04166
20.33537	0.05792
20.71769	0.07269
21.04835	0.08468
21.58566	0.09147
21.78199	0.09279
21.97832	0.08898
22.37097	0.07931
22.57763	0.06976
22.69130	0.05958
23.00129	0.05112
23.20795	0.04366
23.32161	0.03572
23.67293	0.03043
23.90026	0.02506
24.01392	0.02021
24.37558	0.01641
24.59257	0.01296
24.70623	0.00938
25.09889	0.00726
25.37788	0.00525
25.51221	0.00342
25.95653	0.00272
26.27685	0.00181
26.43185	0.00008
26.90716	0.00060
27.26882	0.00018
27.45481	-0.00046
27.96113	-0.00036
28.33312	-0.00153
28.51911	-0.00212
29.09776	-0.00292
29.44909	-0.00407
29.62475	-0.00481
30.17240	-0.00502
30.49272	-0.00575
30.64771	-0.00566
31.15403	-0.00497
31.48469	-0.00475
31.79468	-0.00520
32.35266	-0.00596
32.75565	-0.00699
32.98298	-0.00741
33.44796	-0.00881
33.68562	-0.00895
33.92328	-0.00907
34.25394	-0.00808
34.46060	-0.00820
34.58459	-0.00689
34.92558	-0.00757
35.14257	-0.00747
35.28724	-0.00725
35.63856	-0.00747
35.91755	-0.00789
36.06221	-0.00759
36.57886	-0.00798
36.79586	-0.00738
36.96119	-0.00794
37.35384	-0.00776
37.60183	-0.00859
37.73616	-0.00917
38.12882	-0.01084
38.40781	-0.01111
38.55247	-0.01124
39.05879	-0.01123
39.31711	-0.01078
39.47211	-0.00984
39.95776	-0.00877
40.28842	-0.00758
40.48474	-0.00814
40.90840	-0.00764
41.19772	-0.00773
41.32172	-0.00909
41.74537	-0.00958
42.06569	-0.00987
42.20002	-0.01002
42.64434	-0.00992
42.94400	-0.01022
43.09899	-0.00915
43.49165	-0.00870
43.77064	-0.00877
43.92564	-0.00873
44.33896	-0.00811
44.61795	-0.00811
44.76261	-0.00875
45.15526	-0.00773
45.40326	-0.00750
45.51692	-0.00778
45.90957	-0.00825
46.15757	-0.00839
46.27123	-0.00858
46.64322	-0.00957
46.92221	-0.00939
47.03587	-0.00895
47.39753	-0.00905
47.62485	-0.00941
47.75918	-0.00909
48.08984	-0.00840
48.32750	-0.00852
48.41016	-0.00870
48.76149	-0.00806
48.97848	-0.00822
49.08181	-0.00833
49.40213	-0.00757
49.60879	-0.00767
49.70179	-0.00791
49.99111	-0.00812
50.19777	-0.00864
50.30110	-0.00915
50.59043	-0.00957
50.79709	-0.00966
50.90042	-0.01020
51.20008	-0.01042
51.39640	-0.01072
51.49973	-0.01070
51.80972	-0.00982
52.03705	-0.00953
52.14038	-0.00925
52.48137	-0.00954
52.75003	-0.00945
52.86369	-0.00963
53.22535	-0.00958
53.47334	-0.00940
53.59733	-0.00953
53.96932	-0.00948
54.19665	-0.00913
54.32065	-0.00857
54.67197	-0.00742
54.90963	-0.00701
55.02329	-0.00627
55.37461	-0.00650
55.59161	-0.00601
55.71560	-0.00592
56.05659	-0.00669
56.27359	-0.00657
56.40791	-0.00728
56.74890	-0.00754
56.97623	-0.00751
57.08989	-0.00764
57.42055	-0.00737
57.66854	-0.00718
57.79254	-0.00654
58.13353	-0.00756
58.36085	-0.00791
58.48485	-0.00774
58.78451	-0.00847
58.99117	-0.00878
59.09450	-0.00915
59.41482	-0.00887
59.61115	-0.00895
59.71448	-0.00936
60.01414	-0.00831
60.18980	-0.00865
60.29313	-0.00935
60.59278	-0.00981
60.79944	-0.00984
60.91311	-0.00938
61.24376	-0.01001
61.49176	-0.01002
61.62609	-0.00938
62.00841	-0.00866
62.25640	-0.00843
62.40106	-0.00847
62.80405	-0.00749
63.09337	-0.00798
63.25870	-0.00778
63.72369	-0.00772
64.02334	-0.00803
64.16801	-0.00876
64.60199	-0.00992
64.86032	-0.00984
65.03598	-0.00957
65.42863	-0.00922
65.65596	-0.00926
65.79029	-0.00938
66.15194	-0.00933
66.36894	-0.00922
66.48260	-0.00938
66.83392	-0.00978
67.07158	-0.01072
67.19558	-0.01091
67.50557	-0.01049
67.70190	-0.00944
67.81556	-0.00917
