Black Body Radiation Experiment Wed, Jan 21, 2026 9:44 AM
Sensor Position (Degrees)	Light Intensity (Volts)
47.33553	-0.01661
47.58352	-0.01665
47.71785	-0.01672
48.10017	-0.01680
48.36883	-0.01686
48.50316	-0.01687
48.92681	-0.01678
49.20580	-0.01660
49.32980	-0.01633
49.71212	-0.01600
50.00145	-0.01566
50.12544	-0.01535
50.50776	-0.01513
50.79709	-0.01503
50.92108	-0.01505
51.31374	-0.01519
51.59273	-0.01542
51.74773	-0.01569
52.13005	-0.01595
52.40904	-0.01616
52.55370	-0.01629
52.97735	-0.01633
53.25635	-0.01630
53.40101	-0.01622
53.81433	-0.01611
54.08299	-0.01600
54.23798	-0.01589
54.69263	-0.01581
54.97163	-0.01573
55.11629	-0.01566
55.53994	-0.01557
55.82927	-0.01547
56.00493	-0.01537
56.45958	-0.01528
56.74890	-0.01521
56.91423	-0.01516
57.35855	-0.01512
57.69954	-0.01509
57.85454	-0.01506
58.37119	-0.01503
58.71218	-0.01499
58.88784	-0.01494
59.41482	-0.01490
59.80748	-0.01491
60.01414	-0.01500
60.61345	-0.01518
61.01644	-0.01544
61.24376	-0.01574
61.84308	-0.01605
62.25640	-0.01634
62.47339	-0.01658
63.11404	-0.01672
63.48603	-0.01676
63.69269	-0.01669
64.20934	-0.01653
64.57099	-0.01632
64.76732	-0.01610
65.29430	-0.01587
65.61463	-0.01565
65.80062	-0.01545
66.28627	-0.01528
66.58593	-0.01516
66.78226	-0.01510
67.25758	-0.01508
67.53657	-0.01509
67.72256	-0.01513
68.20821	-0.01518
68.50787	-0.01523
68.68353	-0.01527
69.20018	-0.01526
69.53084	-0.01517
69.71683	-0.01500
70.28515	-0.01476
70.68814	-0.01454
70.91546	-0.01443
71.51478	-0.01454
71.93843	-0.01497
72.15543	-0.01576
72.79607	-0.01689
73.16806	-0.01822
73.40572	-0.01940
74.02570	-0.01989
74.43902	-0.01905
74.67668	-0.01628
75.34833	-0.01117
75.80298	-0.00365
76.05097	0.00599
76.73295	0.01703
77.18760	0.02842
77.43559	0.03891
78.04524	0.04720
78.40690	0.05223
78.61356	0.05347
79.39887	0.05097
79.77086	0.04525
79.95685	0.03723
80.41150	0.02801
80.75249	0.01871
81.19681	0.01026
81.50680	0.00332
81.66180	-0.00184
82.11645	-0.00528
82.41611	-0.00731
82.57110	-0.00834
83.04642	-0.00871
83.37708	-0.00872
83.54240	-0.00860
84.02806	-0.00847
84.38971	-0.00844
84.55504	-0.00854
85.10269	-0.00877
85.50568	-0.00916
85.74334	-0.00970
86.39432	-0.01042
86.81797	-0.01127
87.01430	-0.01218
87.64461	-0.01303
88.07860	-0.01367
88.31626	-0.01392
88.96724	-0.01364
89.41156	-0.01269
89.66988	-0.01091
90.42419	-0.00819
