Black Body Radiation Experiment Wed, Jan 21, 2026 10:13 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.01033	0.00256
0.01033	0.00140
0.01033	0.00054
0.01033	-0.00007
0.02067	-0.00047
0.02067	-0.00069
0.03100	-0.00077
0.03100	-0.00088
0.04133	-0.00090
0.04133	-0.00072
0.04133	-0.00047
0.04133	-0.00025
0.03100	-0.00006
0.04133	0.00020
0.05167	0.00047
0.06200	0.00071
0.07233	0.00093
0.09300	0.00110
0.12400	0.00101
0.15500	0.00080
0.19633	0.00066
0.28932	0.00062
0.38232	0.00054
0.44432	0.00050
0.64065	0.00056
0.76464	0.00086
0.81631	0.00130
0.82664	0.00174
0.82664	0.00208
0.82664	0.00233
0.82664	0.00239
0.82664	0.00242
0.83697	0.00231
0.83697	0.00205
0.83697	0.00180
0.83697	0.00174
0.83697	0.00173
0.84731	0.00185
0.84731	0.00202
0.84731	0.00201
0.84731	0.00186
0.85764	0.00157
0.85764	0.00123
0.85764	0.00082
0.86797	0.00026
0.88864	-0.00024
0.91964	-0.00037
0.92997	-0.00016
0.95064	0.00024
0.96097	0.00085
0.97130	0.00158
1.03330	0.00220
1.05397	0.00281
1.07463	0.00314
1.16763	0.00329
1.20896	0.00313
1.22963	0.00281
1.27096	0.00255
1.31229	0.00234
1.32263	0.00215
1.38462	0.00209
1.42596	0.00213
1.43629	0.00233
1.49829	0.00261
1.57062	0.00287
1.60162	0.00288
1.68428	0.00281
1.69461	0.00256
1.69461	0.00238
1.71528	0.00217
1.75661	0.00182
1.83928	0.00150
1.90127	0.00133
1.93227	0.00126
1.99427	0.00142
2.02527	0.00178
2.04594	0.00214
2.12860	0.00236
2.15960	0.00260
2.16993	0.00286
2.21126	0.00327
2.24226	0.00355
2.25260	0.00376
2.31459	0.00401
2.35593	0.00426
2.37659	0.00446
2.46959	0.00473
2.55225	0.00512
2.58325	0.00546
2.70725	0.00565
2.76925	0.00596
2.83125	0.00635
2.95524	0.00677
3.05857	0.00707
3.11024	0.00729
3.28590	0.00737
3.40989	0.00728
3.47189	0.00690
3.65789	0.00642
3.75088	0.00590
3.81288	0.00534
3.96788	0.00483
4.08154	0.00457
4.13320	0.00447
4.23654	0.00449
4.30887	0.00464
4.33987	0.00481
4.45353	0.00509
4.53619	0.00539
4.57752	0.00548
4.71185	0.00555
4.81518	0.00550
4.85652	0.00541
4.99084	0.00538
5.12517	0.00541
5.17684	0.00543
5.32150	0.00544
5.41450	0.00536
5.45583	0.00525
5.59016	0.00532
5.72449	0.00527
5.77615	0.00504
5.95182	0.00485
6.07581	0.00451
6.11714	0.00420
6.26181	0.00408
6.36514	0.00400
6.41680	0.00399
6.60279	0.00390
6.72679	0.00378
6.78879	0.00370
6.97478	0.00375
7.10911	0.00376
7.17111	0.00373
7.34677	0.00368
7.45010	0.00348
7.49143	0.00327
7.59476	0.00313
7.66710	0.00290
7.71876	0.00257
7.87376	0.00205
7.97709	0.00162
8.02875	0.00127
8.15275	0.00112
8.24574	0.00112
8.28708	0.00116
8.41107	0.00119
8.49374	0.00124
8.52474	0.00138
8.62807	0.00167
8.66940	0.00193
8.69006	0.00214
8.77273	0.00248
8.84506	0.00299
8.87606	0.00341
8.93806	0.00373
8.97939	0.00381
9.00005	0.00370
9.07238	0.00333
9.12405	0.00292
9.15505	0.00249
9.25838	0.00212
9.35138	0.00174
9.39271	0.00162
9.56837	0.00181
9.72336	0.00214
9.80603	0.00234
10.04369	0.00237
10.20902	0.00218
10.31235	0.00183
10.53967	0.00136
10.69467	0.00099
10.74633	0.00059
10.94266	0.00026
11.08732	-0.00000
11.15965	-0.00006
11.40765	0.00003
11.56264	0.00017
11.61431	0.00024
11.78997	0.00018
11.94496	0.00003
11.99663	-0.00023
12.20329	-0.00029
12.32728	-0.00018
12.37895	-0.00005
12.56494	0.00005
12.69927	0.00022
12.75094	0.00033
12.91627	0.00053
13.02993	0.00075
13.09193	0.00096
13.24692	0.00116
13.35025	0.00139
13.39158	0.00159
13.54658	0.00195
13.64991	0.00214
13.69124	0.00216
13.83590	0.00193
13.94957	0.00156
13.99090	0.00096
14.15623	0.00047
14.28022	-0.00003
14.33189	-0.00055
14.52822	-0.00085
14.66254	-0.00096
14.72454	-0.00099
14.94154	-0.00095
15.09653	-0.00102
15.16886	-0.00096
15.45819	-0.00096
15.62351	-0.00103
15.69585	-0.00108
15.97484	-0.00094
16.19183	-0.00093
16.27449	-0.00095
16.59482	-0.00076
16.83248	-0.00050
16.93581	-0.00034
17.28713	-0.00010
17.52479	0.00031
17.64879	0.00115
18.05177	0.00262
18.29976	0.00492
18.43409	0.00855
18.79575	0.01363
19.00241	0.02004
19.10574	0.02797
19.45706	0.03717
19.62239	0.04702
19.75672	0.05694
19.97371	0.06653
20.05638	0.07527
20.11837	0.08281
20.22171	0.08916
20.28370	0.09409
20.36637	0.09791
20.49036	0.10062
20.55236	0.10226
20.61436	0.10336
20.75902	0.10372
20.82102	0.10330
20.85202	0.10229
20.99668	0.10067
21.06901	0.09858
21.10001	0.09604
21.22401	0.09321
21.29634	0.09002
21.33767	0.08663
21.45133	0.08295
21.53400	0.07900
21.57533	0.07511
21.70966	0.07086
21.80266	0.06644
21.85432	0.06195
22.00932	0.05728
22.11265	0.05267
22.17464	0.04821
22.35031	0.04388
22.48463	0.03971
22.54663	0.03580
22.76363	0.03211
22.89796	0.02880
22.97029	0.02602
23.15628	0.02343
23.26994	0.02119
23.32161	0.01920
23.48694	0.01733
23.60060	0.01578
23.67293	0.01467
23.83826	0.01357
23.96226	0.01248
24.03459	0.01140
24.21025	0.01018
24.34458	0.00905
24.40658	0.00800
24.57190	0.00693
24.69590	0.00603
24.74756	0.00526
24.88189	0.00473
24.95422	0.00462
25.00589	0.00493
25.12989	0.00522
25.21255	0.00551
25.25388	0.00574
25.35721	0.00577
25.42954	0.00589
25.47088	0.00593
