Black Body Radiation Experiment Wed, Jan 21, 2026 10:20 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.01033	0.00051
0.01033	-0.00012
0.01033	-0.00037
0.01033	-0.00033
0.01033	-0.00010
0.01033	0.00023
0.01033	0.00055
0.01033	-0.00026
0.01033	-0.00012
0.01033	0.00001
0.01033	-0.00030
0.01033	0.00005
0.01033	0.00003
0.01033	-0.00025
0.01033	-0.00045
0.01033	-0.00061
0.02067	-0.00090
0.02067	-0.00048
0.02067	-0.00047
0.02067	-0.00075
0.03100	-0.00027
0.03100	0.00049
0.03100	-0.00025
0.03100	-0.00031
0.03100	0.00005
0.04133	0.00054
0.04133	0.00093
0.05167	0.00147
0.05167	0.00156
0.05167	0.00158
0.05167	0.00181
0.05167	0.00112
0.05167	0.00062
0.05167	0.00045
0.05167	-0.00120
0.06200	-0.00162
0.06200	-0.00133
0.07233	-0.00075
0.07233	-0.00038
0.08266	0.00023
0.08266	-0.00020
0.11366	-0.00028
0.16533	-0.00031
0.26866	-0.00087
0.43399	-0.00058
0.53732	-0.00053
0.81631	-0.00087
0.99197	-0.00095
1.05397	-0.00041
1.03330	0.00003
1.03330	0.00034
1.04363	0.00042
1.05397	0.00026
1.04363	0.00091
1.03330	0.00089
1.03330	0.00139
1.03330	0.00145
1.03330	0.00158
1.04363	0.00180
1.04363	0.00256
1.05397	0.00325
1.05397	0.00326
1.07463	0.00278
1.08497	0.00255
1.09530	0.00133
1.09530	0.00096
1.10563	-0.00043
1.11597	-0.00139
1.11597	-0.00214
1.11597	-0.00143
1.13663	-0.00093
1.16763	0.00017
1.22963	-0.00065
1.37429	-0.00064
1.54995	-0.00105
1.63262	-0.00051
1.96327	-0.00145
2.23193	-0.00164
2.39726	-0.00210
2.74858	-0.00231
2.98624	-0.00214
3.06890	-0.00132
3.24457	-0.00100
3.28590	-0.00148
3.29623	-0.00183
3.30656	-0.00133
3.33756	-0.00135
3.35823	-0.00170
3.47189	-0.00294
3.60622	-0.00364
3.69922	-0.00356
3.99888	-0.00375
4.18487	-0.00359
4.26753	-0.00293
4.45353	-0.00275
4.58786	-0.00268
4.63952	-0.00124
4.81518	-0.00066
4.95985	-0.00003
5.01151	-0.00059
5.23884	-0.00144
5.40417	-0.00243
5.47650	-0.00352
5.71416	-0.00503
5.88982	-0.00552
5.97248	-0.00547
6.41680	-0.00547
6.66479	-0.00521
6.77846	-0.00443
7.17111	-0.00370
7.42944	-0.00308
7.57410	-0.00302
7.99775	-0.00306
8.30774	-0.00306
8.46274	-0.00327
8.87606	-0.00321
9.14472	-0.00303
9.27905	-0.00374
9.67170	-0.00375
9.90936	-0.00359
10.03335	-0.00374
10.39501	-0.00419
10.56034	-0.00386
10.63267	-0.00418
10.96333	-0.00407
11.15965	-0.00382
11.24232	-0.00355
11.54197	-0.00402
11.80030	-0.00493
11.90363	-0.00533
12.27562	-0.00459
12.64761	-0.00354
12.76127	-0.00386
13.24692	-0.00383
13.60858	-0.00383
13.73257	-0.00374
14.17689	-0.00329
14.54888	-0.00308
14.70388	-0.00257
15.17920	-0.00305
15.48919	-0.00224
15.62351	-0.00115
16.02650	0.00008
16.29516	0.00084
16.43982	0.00119
16.87381	0.00054
17.17347	0.00126
17.33879	0.00486
17.78311	0.00919
18.09310	0.02012
18.40309	0.03811
18.90941	0.06121
19.17807	0.09057
19.42606	0.12204
19.89105	0.15506
20.08738	0.18461
20.27337	0.20861
20.58336	0.22430
20.75902	0.23258
20.95535	0.23085
21.30667	0.22188
21.48233	0.20999
21.69933	0.19431
22.02998	0.17675
22.26764	0.15944
22.36064	0.14082
22.66030	0.12527
22.85662	0.10937
22.95995	0.09424
23.26994	0.08159
23.46627	0.06955
23.54894	0.05855
23.79693	0.05054
23.95192	0.04338
24.02425	0.03646
24.27225	0.03144
24.44791	0.02681
24.52024	0.02291
24.75790	0.02004
24.91289	0.01692
24.99556	0.01393
25.24355	0.01261
25.43988	0.01137
25.52254	0.00956
25.83253	0.00918
26.03919	0.00829
26.16319	0.00631
26.52484	0.00486
26.76250	0.00380
26.86583	0.00272
27.21715	0.00079
27.44448	0.00063
27.57881	0.00005
27.91980	0.00053
28.15746	0.00045
28.26079	-0.00057
28.59145	-0.00087
28.80844	-0.00140
28.92210	-0.00224
29.25276	-0.00282
29.46975	-0.00294
29.59375	-0.00244
29.90374	-0.00112
30.11040	0.00119
