Black Body Radiation Experiment Wed, Jan 21, 2026 10:25 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.01033	-0.00242
0.01033	-0.00096
0.01033	0.00000
0.01033	0.00056
0.01033	0.00078
0.01033	0.00076
0.01033	0.00057
0.01033	0.00052
0.02067	0.00025
0.02067	-0.00006
0.03100	0.00010
0.03100	0.00036
0.04133	0.00120
0.05167	0.00135
0.06200	0.00163
0.07233	0.00171
0.11366	0.00076
0.13433	0.00044
0.15500	0.00049
0.22733	0.00055
0.34099	0.00040
0.41332	0.00105
0.66131	0.00107
0.84731	0.00187
0.90931	0.00161
0.90931	0.00184
0.88864	0.00102
0.90931	-0.00010
0.91964	-0.00071
0.91964	-0.00101
0.91964	-0.00101
0.91964	-0.00073
0.92997	-0.00115
0.92997	-0.00023
0.94030	0.00016
0.95064	0.00104
0.96097	0.00102
0.98164	0.00120
1.01264	0.00058
1.16763	0.00095
1.28129	0.00142
1.32263	0.00094
1.52929	0.00047
1.67395	0.00035
1.74628	0.00038
1.96327	-0.00033
2.04594	-0.00007
2.08727	0.00007
2.16993	-0.00052
2.21126	-0.00118
2.23193	-0.00101
2.32493	-0.00012
2.38693	0.00044
2.41792	-0.00012
2.50059	-0.00032
2.59359	-0.00009
2.63492	0.00084
2.82091	0.00026
2.97591	0.00076
3.03791	0.00063
3.26523	0.00013
3.39956	-0.00038
3.47189	-0.00027
3.66822	-0.00007
3.84388	-0.00062
3.92654	-0.00131
4.18487	-0.00156
4.37086	-0.00111
4.48453	-0.00041
4.71185	-0.00017
4.88751	0.00023
4.94951	-0.00003
5.21817	0.00008
5.39383	-0.00012
5.48683	0.00069
5.74515	0.00045
5.88982	-0.00026
5.94148	-0.00023
6.08614	-0.00071
6.19981	-0.00050
6.25147	-0.00055
6.44780	-0.00079
6.57180	-0.00083
6.63379	-0.00084
6.79912	-0.00027
6.91279	0.00103
6.97478	0.00206
7.20211	0.00192
7.38810	0.00150
7.49143	0.00213
7.79109	0.00159
8.01842	0.00064
8.15275	0.00051
8.47307	0.00021
8.67973	-0.00090
8.79339	-0.00092
9.13438	-0.00083
9.35138	-0.00011
9.46504	0.00047
9.83703	0.00045
10.09535	0.00104
10.22968	0.00206
10.65334	0.00110
10.89099	0.00112
10.97366	0.00208
11.30432	0.00126
11.52131	-0.00019
11.60397	-0.00075
11.92430	-0.00076
12.15162	-0.00152
12.24462	-0.00115
12.55461	-0.00187
12.77160	-0.00100
12.87493	-0.00016
13.23659	0.00046
13.51558	0.00152
13.61891	0.00200
14.00123	0.00194
14.24922	0.00225
14.35255	0.00199
14.68321	0.00273
14.92087	0.00215
15.01387	0.00275
15.32386	0.00302
15.55118	0.00460
15.66485	0.00724
15.97484	0.00879
16.19183	0.01142
16.36749	0.01487
16.74981	0.01832
16.92547	0.02286
17.09080	0.02839
17.52479	0.03340
17.77278	0.04442
17.90711	0.06573
18.40309	0.09615
18.70275	0.13852
19.01274	0.18874
19.64306	0.24230
20.01504	0.29333
20.33537	0.33327
20.85202	0.36083
21.13101	0.37305
21.35834	0.36530
21.82332	0.34339
22.02998	0.31416
22.12298	0.27968
22.40197	0.24576
22.58796	0.21600
22.69130	0.18832
22.99095	0.16626
23.21828	0.14495
23.30094	0.12514
23.60060	0.10929
23.80726	0.09481
23.88992	0.08119
24.18958	0.07222
24.40658	0.06265
24.48924	0.05273
24.77856	0.04685
24.97489	0.04041
25.04722	0.03429
25.28488	0.03013
25.42954	0.02589
25.51221	0.02245
25.70853	0.02010
25.85320	0.01777
25.91519	0.01519
26.08052	0.01379
26.19419	0.01171
26.24585	0.00948
26.44218	0.00853
26.60751	0.00754
26.69017	0.00586
26.95883	0.00482
27.14482	0.00456
27.23782	0.00458
27.53748	0.00482
27.76480	0.00352
27.86813	0.00219
28.26079	0.00168
28.51911	0.00172
28.62244	0.00198
28.99443	0.00207
29.22176	0.00205
29.31476	0.00185
29.64541	0.00135
29.88307	0.00047
30.00707	-0.00090
