Black Body Radiation Experiment Wed, Jan 21, 2026 9:45 AM
Sensor Position (Degrees)	Light Intensity (Volts)
-0.01033	0.00450
0.01033	0.00315
0.01033	0.00197
0.01033	0.00095
0.01033	0.00005
0.01033	-0.00072
0.01033	-0.00140
0.01033	-0.00258
0.01033	-0.00273
0.01033	-0.00321
0.01033	-0.00298
0.01033	-0.00263
0.01033	-0.00234
0.01033	-0.00226
0.01033	-0.00259
0.01033	-0.00153
0.01033	-0.00109
0.01033	-0.00023
0.01033	-0.00013
0.01033	0.00007
0.01033	0.00040
0.01033	0.00002
0.01033	-0.00002
0.01033	-0.00080
0.01033	-0.00161
0.01033	-0.00231
0.01033	-0.00267
0.01033	-0.00250
0.01033	-0.00280
0.01033	-0.00220
0.01033	-0.00193
0.01033	-0.00152
0.01033	-0.00116
0.01033	-0.00127
0.01033	-0.00079
0.01033	-0.00109
0.01033	-0.00055
0.01033	-0.00087
0.01033	-0.00136
0.01033	-0.00094
0.01033	-0.00028
0.01033	0.00073
0.02067	0.00060
0.02067	0.00167
0.03100	0.00236
0.05167	0.00208
0.09300	0.00217
0.18599	0.00154
0.42365	0.00047
0.74398	0.00005
0.92997	-0.00053
1.20896	-0.00034
1.19863	0.00019
1.20896	0.00020
1.23996	0.00088
1.22963	0.00188
1.22963	0.00181
1.22963	0.00146
1.22963	0.00073
1.22963	-0.00049
1.22963	-0.00168
1.22963	-0.00185
1.22963	-0.00256
1.23996	-0.00322
1.25029	-0.00226
1.26063	-0.00203
1.28129	-0.00088
1.29163	-0.00030
1.34329	0.00044
1.40529	0.00067
1.43629	0.00071
1.60162	0.00075
1.72561	0.00088
1.79794	0.00032
2.05627	0.00029
2.26293	0.00053
2.36626	0.00178
2.65558	0.00181
2.86224	0.00170
2.97591	0.00211
3.36856	0.00198
3.63722	0.00187
3.74055	0.00184
4.09187	0.00166
4.31920	0.00123
4.43286	0.00000
4.71185	-0.00037
4.87718	-0.00050
4.95985	0.00018
5.22850	0.00008
5.40417	-0.00015
5.46616	-0.00010
5.75549	-0.00012
5.96215	0.00014
6.04481	-0.00045
6.32380	-0.00041
6.49946	-0.00036
6.58213	-0.00126
6.81979	-0.00102
6.97478	-0.00032
7.04711	0.00042
7.26411	0.00061
7.40877	0.00026
7.49143	-0.00018
7.70843	-0.00030
7.86342	-0.00087
7.96675	-0.00100
8.32841	-0.00089
8.54540	-0.00226
8.66940	-0.00251
9.03105	-0.00173
9.31004	-0.00110
9.45471	-0.00088
9.87836	-0.00025
10.15735	-0.00062
10.45701	0.00024
10.77733	-0.00044
11.03566	-0.00022
11.13899	0.00027
11.52131	-0.00063
11.78997	-0.00200
11.87263	-0.00141
12.25495	-0.00169
12.56494	-0.00190
12.86460	-0.00255
13.33992	-0.00263
13.61891	-0.00337
13.78424	-0.00282
14.32156	-0.00394
14.69354	-0.00365
14.87954	-0.00334
15.49952	-0.00320
15.90251	-0.00334
16.12983	-0.00243
16.77048	-0.00289
17.19413	-0.00281
17.41113	-0.00153
18.07244	-0.00003
18.46509	0.00583
18.69242	0.01591
19.27107	0.02962
19.66372	0.04652
19.86005	0.06494
20.54203	0.08136
20.81069	0.09502
21.04835	0.10508
21.48233	0.10847
21.70966	0.10732
21.94732	0.10119
22.29864	0.09077
22.61896	0.08073
22.75329	0.07035
23.16661	0.06096
23.45594	0.05187
23.59027	0.04416
24.04492	0.03647
24.37558	0.02997
24.53057	0.02482
25.00589	0.02020
25.34688	0.01743
25.50187	0.01439
25.95653	0.01240
26.28718	0.01009
26.43185	0.00831
26.87617	0.00661
27.17582	0.00448
27.29982	0.00366
27.72347	0.00152
28.02313	0.00048
28.16779	0.00047
28.60178	0.00025
28.86010	0.00020
28.99443	-0.00076
29.42842	-0.00139
29.72808	-0.00206
29.86241	-0.00209
30.29639	-0.00156
30.59605	-0.00224
30.74071	-0.00214
31.19536	-0.00289
31.50535	-0.00270
31.67068	-0.00253
32.13567	-0.00277
32.42499	-0.00397
32.60065	-0.00464
33.21030	-0.00561
33.54096	-0.00553
33.68562	-0.00569
34.17127	-0.00568
34.47093	-0.00551
34.63626	-0.00534
35.09091	-0.00459
35.36990	-0.00404
35.53523	-0.00390
36.01055	-0.00330
36.36187	-0.00269
36.55820	-0.00169
37.13685	-0.00142
37.49850	-0.00117
37.69483	-0.00192
38.23215	-0.00090
38.58347	0.00003
38.74880	-0.00069
39.29645	-0.00001
39.59610	-0.00073
39.78210	-0.00182
40.23675	-0.00177
40.53641	-0.00156
40.66040	-0.00230
41.08406	-0.00166
41.38371	-0.00178
41.50771	-0.00243
41.94170	-0.00126
42.22069	-0.00182
42.34468	-0.00210
42.78900	-0.00164
43.08866	-0.00244
43.20232	-0.00267
43.62598	-0.00240
43.88430	-0.00213
44.00830	-0.00204
44.36995	-0.00083
44.58695	-0.00076
44.71094	-0.00187
45.05193	-0.00087
45.28959	-0.00162
45.38259	-0.00188
45.74425	-0.00187
45.95091	-0.00227
46.06457	-0.00192
46.44689	-0.00163
46.71555	-0.00191
46.83954	-0.00184
47.30453	-0.00177
47.64552	-0.00188
47.81085	-0.00192
48.24483	-0.00170
48.53416	-0.00233
48.66849	-0.00238
49.07148	-0.00219
49.35047	-0.00190
49.47446	-0.00193
49.85678	-0.00195
50.13578	-0.00256
50.24944	-0.00268
50.61109	-0.00276
50.86942	-0.00273
50.98308	-0.00182
51.37574	-0.00256
51.64440	-0.00216
51.76839	-0.00202
52.20238	-0.00146
52.49170	-0.00089
52.62603	-0.00215
53.01869	-0.00208
53.30801	-0.00272
53.43201	-0.00212
53.80400	-0.00236
54.05199	-0.00212
54.18632	-0.00169
54.58930	-0.00173
54.84763	-0.00115
54.96129	-0.00129
55.33328	-0.00090
55.59161	-0.00156
55.71560	-0.00335
56.09792	-0.00341
56.37692	-0.00393
56.50091	-0.00279
56.86257	-0.00308
57.11056	-0.00231
57.23456	-0.00229
57.62721	-0.00171
57.93720	-0.00181
58.08186	-0.00164
58.48485	-0.00134
58.77417	-0.00134
58.89817	-0.00261
59.37349	-0.00235
59.68348	-0.00248
59.83847	-0.00169
60.30346	-0.00155
60.63412	-0.00133
60.76845	-0.00258
61.26443	-0.00261
61.59509	-0.00343
61.73975	-0.00312
62.22540	-0.00223
62.57672	-0.00209
62.73172	-0.00324
63.22770	-0.00297
63.58936	-0.00312
63.76502	-0.00277
64.28167	-0.00220
64.61233	-0.00228
64.77765	-0.00215
65.27364	-0.00162
65.62496	-0.00115
65.79029	-0.00061
66.27594	-0.00055
66.57560	-0.00074
66.73059	-0.00185
67.20591	-0.00204
67.53657	-0.00200
67.71223	-0.00167
68.21855	-0.00069
68.54920	-0.00077
68.73520	0.00046
69.24152	0.00047
69.57217	0.00029
69.75817	-0.00095
70.31615	-0.00192
70.66747	-0.00181
70.89480	-0.00309
71.46311	-0.00353
71.80410	-0.00311
72.01076	-0.00303
72.53775	-0.00270
72.88907	-0.00249
73.04406	-0.00227
73.50905	-0.00277
73.81904	-0.00272
73.98437	-0.00278
74.45969	-0.00244
74.73868	-0.00156
74.88334	-0.00158
75.33799	-0.00068
75.63765	-0.00013
75.79265	-0.00610
76.20597	-0.01840
76.47462	-0.00824
76.60895	0.01518
77.02227	0.05175
77.32193	0.08844
77.47693	0.12011
77.94191	0.14654
78.22090	0.16292
78.38623	0.16780
78.94421	0.16025
79.21287	0.13845
79.35753	0.10148
79.69852	0.06414
79.92585	0.05036
80.03951	0.03958
80.43217	0.03563
80.70083	0.02924
80.84549	0.02374
81.33114	0.02050
81.64113	0.01628
81.80646	0.01371
82.28178	0.01107
82.62277	0.00918
82.78809	0.00658
83.31508	0.00532
83.63540	0.00491
83.81106	0.00299
84.35871	0.00223
84.74103	0.00146
84.91670	0.00110
85.51601	0.00146
85.87767	0.00093
86.07399	0.00095
