Black Body Radiation Experiment Wed, Jan 21, 2026 10:22 AM
Sensor Position (Degrees)	Light Intensity (Volts)
-0.01033	-0.00052
-0.01033	-0.00010
-0.01033	0.00010
-0.01033	0.00013
-0.01033	0.00005
-0.01033	-0.00008
-0.01033	-0.00023
-0.01033	0.00013
0.01033	0.00017
0.01033	0.00034
0.01033	0.00014
0.01033	0.00008
0.02067	-0.00007
0.02067	-0.00013
0.03100	-0.00036
0.03100	-0.00019
0.02067	-0.00114
0.03100	-0.00154
0.03100	-0.00179
0.04133	-0.00118
0.05167	-0.00074
0.07233	-0.00059
0.08266	0.00068
0.13433	0.00083
0.21699	0.00196
0.28932	0.00213
0.49598	0.00240
0.69231	0.00273
0.76464	0.00173
0.73364	0.00187
0.74398	0.00163
0.75431	0.00222
0.75431	0.00227
0.74398	0.00204
0.75431	0.00227
0.75431	0.00124
0.76464	0.00095
0.77498	-0.00023
0.78531	-0.00089
0.80597	-0.00163
0.81631	-0.00245
0.88864	-0.00250
0.99197	-0.00178
1.06430	-0.00049
1.32263	0.00060
1.58095	0.00082
1.69461	0.00177
2.36626	0.00165
2.87258	0.00149
3.13090	0.00215
3.76122	0.00164
4.11254	0.00116
4.24687	0.00178
4.47419	0.00195
4.60852	0.00226
4.66019	0.00330
4.75319	0.00274
4.80485	0.00227
4.82552	0.00259
4.92885	0.00156
4.99084	0.00090
5.01151	0.00047
5.08384	-0.00059
5.12517	-0.00066
5.14584	-0.00037
5.18717	-0.00106
5.21817	-0.00014
5.23884	0.00117
5.31117	0.00127
5.37317	0.00268
5.38350	0.00316
5.41450	0.00298
5.43516	0.00247
5.44550	0.00224
5.55916	0.00227
5.63149	0.00183
5.66249	0.00095
5.78649	0.00051
5.90015	0.00124
5.97248	0.00100
6.24114	0.00039
6.45813	0.00030
6.56146	-0.00038
6.86112	-0.00094
7.06778	-0.00134
7.15044	-0.00136
7.38810	-0.00081
7.49143	-0.00098
7.53277	-0.00050
7.69809	0.00001
7.80142	0.00042
7.87376	0.00015
8.10108	-0.00025
8.25608	0.00002
8.33874	-0.00013
8.51440	-0.00043
8.65906	-0.00089
8.73140	-0.00076
8.94839	-0.00061
9.06205	-0.00125
9.11372	-0.00054
9.25838	-0.00030
9.34104	0.00038
9.39271	0.00044
9.54770	0.00088
9.65103	0.00088
9.71303	0.00072
9.93002	0.00047
10.07469	-0.00028
10.14702	0.00041
10.29168	-0.00019
10.41568	-0.00058
10.46734	-0.00029
10.64300	-0.00046
10.75667	0.00001
10.81866	0.00019
11.00466	0.00090
11.14932	0.00080
11.20099	0.00132
11.39731	0.00147
11.53164	0.00153
11.57297	0.00269
11.75897	0.00263
11.91396	0.00259
11.96563	0.00174
12.22395	0.00124
12.38928	0.00116
12.46161	0.00098
12.70961	0.00125
12.89560	0.00094
12.97826	0.00094
13.25725	0.00059
13.42258	0.00111
13.51558	0.00196
13.72224	0.00207
13.86690	0.00237
13.92890	0.00218
14.12523	0.00229
14.25956	0.00248
14.31122	0.00257
14.47655	0.00286
14.63155	0.00376
14.70388	0.00354
14.94154	0.00311
15.06553	0.00392
15.13786	0.00415
15.37552	0.00484
15.55118	0.00562
15.62351	0.00633
15.90251	0.00706
16.08850	0.00798
16.18150	0.00957
16.49149	0.01081
16.69815	0.01357
16.90481	0.01678
17.26646	0.01996
17.45246	0.02742
17.62812	0.03767
18.03111	0.04882
18.19643	0.06373
18.33076	0.08240
18.59942	0.10283
18.74408	0.12718
18.90941	0.15423
19.20907	0.18166
19.35373	0.21061
19.47773	0.23839
19.67406	0.26290
19.76705	0.28557
19.86005	0.30265
20.03571	0.31329
20.13904	0.32092
20.24237	0.32272
20.48003	0.32083
20.60403	0.31644
20.65569	0.30785
20.86235	0.29751
21.00701	0.28620
21.06901	0.27164
21.27567	0.25660
21.42033	0.23990
21.49267	0.22032
21.69933	0.20205
21.86465	0.18379
21.92665	0.16527
22.16431	0.14968
22.33997	0.13350
22.41230	0.11788
22.64996	0.10509
22.80496	0.09282
22.87729	0.08039
23.08395	0.07082
23.19761	0.06179
23.25961	0.05259
23.46627	0.04611
23.63160	0.04059
23.70393	0.03554
23.93126	0.03240
24.09658	0.02953
24.15858	0.02688
24.37558	0.02440
24.55124	0.02147
24.63390	0.01870
24.89223	0.01637
25.07822	0.01422
25.16089	0.01265
25.43988	0.01084
25.63620	0.01021
25.71887	0.00922
25.94619	0.00888
26.11152	0.00920
26.17352	0.00845
26.42151	0.00844
26.59717	0.00770
26.67984	0.00715
26.89683	0.00625
27.07249	0.00576
27.14482	0.00505
27.39282	0.00434
27.54781	0.00402
27.62014	0.00376
27.84747	0.00385
28.03346	0.00392
28.10579	0.00337
28.37445	0.00419
28.55011	0.00365
28.62244	0.00388
28.89110	0.00302
29.13909	0.00237
29.24242	0.00193
29.60408	0.00185
29.85207	0.00228
29.95540	0.00338
30.25506	0.00530
